Experiment,I2,LiI,BMII,TBP,GuSCN,Voc_predicted(V),Improvement(V)
29,0.0,0.0,0.25977845719396025,1.6121688534540501,0.5,0.830765873062373,0.11376587306237307
30,0.0,0.0,0.2525896837634125,1.619305762623425,0.5,0.8307658600224039,0.11376586002240396
31,0.0,0.0,0.2525960114971636,1.619332166779267,0.5,0.8307657650413338,0.11376576504133384
32,0.0,0.0,0.2526372743295772,1.6193744353741464,0.5,0.8307656170247135,0.11376561702471355
33,0.0,0.0,0.259925691393913,1.6121030116279762,0.5,0.8307652909125149,0.11376529091251497
34,0.0,0.0,0.24648205723723504,1.6114796854824764,0.5,0.8307651771875131,0.11376517718751311
35,0.0,0.0,0.25394691151791643,1.6044269695928233,0.5,0.8307642836493763,0.1137642836493763
36,0.0,0.0,0.247309896037673,1.6165300907425617,0.5,0.8307642195587963,0.11376421955879634
37,0.0,0.0,0.24627189839988928,1.6113111335097168,0.5,0.8307642167501337,0.1137642167501337
38,0.0,0.0,0.24677928807033617,1.615557379089972,0.5,0.8307640856944234,0.11376408569442342
39,0.0,0.0,0.25392509821507325,1.6041103216432666,0.5,0.8307630481632424,0.11376304816324245
40,0.0,0.0,0.2604633374357318,1.611843344213513,0.5,0.8307630404978958,0.11376304049789587
41,0.0,0.0,0.2459504821188437,1.6110870135816089,0.5,0.8307626884278703,0.1137626884278703
42,0.0,0.0,0.25044983870430915,1.6197966855857944,0.5,0.8307622759172233,0.11376227591722332
43,0.0,0.0,0.2525322693835066,1.620256222329363,0.5,0.8307621702645367,0.11376217026453672
44,0.0,0.0,0.2538146562468576,1.6036905339169163,0.5,0.8307613452978906,0.11376134529789061
45,0.0,0.0,0.2524993503845323,1.6205140267154146,0.5,0.8307610876959926,0.11376108769599258
46,0.0,0.0,0.24551835728664925,1.6115595046804903,0.5,0.8307609984172206,0.11376099841722065
47,0.0,0.0,0.2608885442330895,1.6123496843849427,0.5,0.8307609966847602,0.11376099668476025
48,0.0,0.0,0.253907886316831,1.6035552820542631,0.5,0.8307607548027409,0.11376075480274095
49,0.0,0.0,0.2455335978250877,1.610619126454827,0.5,0.8307604117834853,0.11376041178348528
50,0.0,0.0,0.25260725434932135,1.6206827226383935,0.5,0.8307603828569361,0.11376038285693613
51,0.0,0.0,0.2596667684121146,1.6067126160891219,0.5,0.8307600295993884,0.11376002959938847
52,0.0,0.0,0.24513508341624646,1.6114184416763917,0.5,0.8307590943373775,0.11375909433737752
53,0.0,0.0,0.25575525774396907,1.6034833774957853,0.5,0.8307590437176318,0.11375904371763179
54,0.0,0.0,0.2613032483035976,1.6124825919185244,0.5,0.830758948216503,0.11375894821650301
55,0.0,0.0,0.2539516729137066,1.6030994408010288,0.5,0.8307587431355357,0.11375874313553569
56,0.0,0.0,0.26146814939228474,1.6116372312760028,0.5,0.8307583096845264,0.11375830968452638
57,0.0,0.0,0.2531213969795182,1.621178157395478,0.5,0.8307581563949942,0.1137581563949942
58,0.0,0.0,0.2540824620482451,1.6027288872814112,0.5,0.8307570062468539,0.11375700624685392
59,0.0,0.0,0.2617228337648076,1.6124967930897203,0.5,0.8307568139872377,0.11375681398723769
60,0.0,0.0,0.24441282822505886,1.6111602349867982,0.5,0.8307552355101508,0.11375523551015088
61,0.0,0.0,0.2432597641637135,1.610539956217139,0.5,0.8307481281999207,0.11374812819992075
62,0.0,0.0,0.26592146408258127,1.6087363974997972,0.5,0.8307281507171762,0.11372815071717624
63,0.0,0.0,0.24240268107396687,1.5905765060567854,0.5,0.830621093254793,0.11362109325479308
64,0.0,0.0,0.27532091279880166,1.646133725402328,0.5,0.8303169284407863,0.11331692844078634
65,0.0,0.0,0.2200373188964473,1.644919346028558,0.5,0.8302033182078707,0.11320331820787077
66,0.0,0.0,0.28863322143371933,1.5733481475866165,0.5,0.8300573471402819,0.11305734714028193
67,0.0,0.0,0.1813833775926224,1.5886678646396957,0.5,0.829064242622688,0.11206424262268799
68,0.0,0.0,0.26645760162064236,1.6039325400588007,0.47422609612067823,0.8281173104932966,0.11111731049329665
69,0.0,0.0,0.2745282379283397,1.4843329919539603,0.5,0.826647985318564,0.10964798531856401
70,0.0,0.0,0.269293075668089,1.7508068380705166,0.5,0.8258580155077144,0.10885801550771446
71,0.0,0.0,0.14394702416248592,1.730053467859244,0.5,0.8240772616560426,0.10707726165604259
72,0.0,0.0,0.43045625116688313,1.5047100811524996,0.5,0.8189779042572631,0.10197790425726316
73,0.0,0.0,0.25351804047687454,1.773903513325855,0.4026899805679856,0.8143602226500652,0.09736022265006528
74,0.0,0.0,0.4316101589138891,1.7569265875599471,0.4668095550750177,0.8124666030740846,0.09546660307408461
75,0.0,0.0,0.16728948435806068,1.5742816957076167,0.3499983650098144,0.8084323719997126,0.09143237199971266
76,0.0,0.0,0.0,1.4461963471165669,0.5,0.8059786337508239,0.08897863375082393
77,0.05,0.0,0.15706911006381583,1.5867531569718696,0.5,0.8054158942323157,0.08841589423231577
78,0.0,0.0,0.3027290970796955,1.9529651790557248,0.5,0.8024379028288307,0.08543790282883068
79,0.0,0.0,0.4074833896006034,1.2287718163814818,0.5,0.7939435928622327,0.07694359286223273
80,0.0,0.0,0.6118594354835287,1.6555888315424705,0.3954375702062401,0.7809280337707651,0.06392803377076517
81,0.0,0.0,0.02766330765726187,1.881628498944829,0.2790526334959032,0.7753300125438587,0.05833001254385872
82,0.0,0.0,0.5651960400041938,1.6605163630014648,0.21710611732832105,0.7646389906300985,0.04763899063009858
83,0.0,0.0,0.6506931104885352,1.8410668086606756,0.374919425930429,0.7636499819195457,0.046649981919545724
84,0.0,0.0,0.0,1.0066561317156848,0.5,0.7458832638298958,0.02888326382989581
85,0.0,0.0,0.6318000917198339,1.5786990059063561,0.15345033663835472,0.7444819997011489,0.02748199970114895
86,0.0,0.0,0.563030425944246,1.6083718850283324,0.0842605074925064,0.7444507426199518,0.02745074261995184
87,0.0,0.0,0.5420933848768529,1.5241357840914855,0.05965639250282298,0.7390227905669668,0.022022790566966877
88,0.0,0.0,0.544515262509736,1.5384820133742234,0.0,0.7321280233563545,0.015128023356354547
89,0.0,0.0,0.526437708404472,1.4937402265990953,0.0,0.7305853222138126,0.01358532221381259
